<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GDAX.ETH-USD,D,20160518,000000,12.5000000,14.9300000,12.5000000,13.1800000,484
GDAX.ETH-USD,D,20160519,000000,13.1800000,14.9000000,13.0000000,14.9000000,951
GDAX.ETH-USD,D,20160520,000000,14.8200000,14.8200000,13.7100000,14.1700000,254
GDAX.ETH-USD,D,20160523,000000,13.8600000,13.9100000,13.6100000,13.6100000,181
GDAX.ETH-USD,D,20160524,000000,13.6800000,13.7400000,12.0000000,12.7700000,2754
GDAX.ETH-USD,D,20160525,000000,13.0000000,13.1800000,11.9300000,12.6100000,9696
GDAX.ETH-USD,D,20160526,000000,12.6100000,12.9500000,12.1500000,12.4700000,2993
GDAX.ETH-USD,D,20160527,000000,12.4700000,12.4700000,10.2500000,10.9800000,19329
GDAX.ETH-USD,D,20160528,000000,11.3000000,12.4400000,10.7000000,12.0200000,15673
GDAX.ETH-USD,D,20160529,000000,12.0200000,12.4900000,11.7000000,12.3400000,3385
GDAX.ETH-USD,D,20160530,000000,12.3500000,12.8800000,12.0000000,12.8800000,4124
GDAX.ETH-USD,D,20160531,000000,12.8400000,14.2400000,12.3700000,14.1600000,5807
GDAX.ETH-USD,D,20160601,000000,14.1500000,14.4500000,13.5000000,13.9300000,10389
GDAX.ETH-USD,D,20160602,000000,13.9300000,14.1800000,13.7600000,14.0300000,8048
GDAX.ETH-USD,D,20160603,000000,14.0300000,14.1200000,13.4900000,13.9800000,13004
GDAX.ETH-USD,D,20160604,000000,13.9800000,14.0300000,13.5600000,13.9500000,6250
GDAX.ETH-USD,D,20160605,000000,13.9700000,14.0600000,13.8000000,14.0400000,1952
GDAX.ETH-USD,D,20160606,000000,14.0200000,14.3000000,13.8300000,14.2200000,5142
GDAX.ETH-USD,D,20160607,000000,14.2100000,14.6900000,13.9700000,14.5200000,13016
GDAX.ETH-USD,D,20160608,000000,14.5300000,14.8700000,14.4000000,14.6400000,12617
GDAX.ETH-USD,D,20160609,000000,14.6400000,14.8500000,14.5500000,14.7100000,8224
GDAX.ETH-USD,D,20160610,000000,14.6100000,14.7400000,13.7600000,13.9100000,17340
GDAX.ETH-USD,D,20160611,000000,13.9300000,14.2900000,13.8600000,14.1000000,7581
GDAX.ETH-USD,D,20160612,000000,14.1400000,15.9100000,13.9200000,15.5800000,20332
GDAX.ETH-USD,D,20160613,000000,15.9100000,17.9300000,15.4900000,17.8900000,24121
GDAX.ETH-USD,D,20160614,000000,17.8600000,19.0800000,16.9600000,18.7900000,35326
GDAX.ETH-USD,D,20160615,000000,18.7900000,18.8100000,17.8900000,18.4200000,13608
GDAX.ETH-USD,D,20160616,000000,18.5100000,21.3500000,18.5000000,20.9900000,34245
GDAX.ETH-USD,D,20160617,000000,20.9900000,22.0000000,13.7500000,15.6500000,123080
GDAX.ETH-USD,D,20160618,000000,15.6400000,15.7400000,10.0000000,11.6400000,80846
GDAX.ETH-USD,D,20160619,000000,11.5500000,13.4000000,10.7200000,12.3500000,28839
GDAX.ETH-USD,D,20160620,000000,12.3500000,12.7400000,10.8000000,11.8100000,34635
GDAX.ETH-USD,D,20160621,000000,11.4400000,13.8900000,11.2000000,13.8900000,32070
GDAX.ETH-USD,D,20160622,000000,13.3000000,15.8900000,13.0700000,13.1800000,68057
GDAX.ETH-USD,D,20160623,000000,13.1800000,14.5000000,12.6800000,13.8100000,34445
GDAX.ETH-USD,D,20160624,000000,13.9800000,14.8000000,13.2500000,14.5500000,32283
GDAX.ETH-USD,D,20160625,000000,14.5500000,14.7400000,14.0000000,14.3700000,10305
GDAX.ETH-USD,D,20160626,000000,14.3900000,14.4900000,13.6000000,14.0200000,7488
GDAX.ETH-USD,D,20160627,000000,14.0000000,14.5900000,13.8500000,14.1000000,10082
GDAX.ETH-USD,D,20160628,000000,14.0600000,14.2500000,11.5200000,12.2300000,42382
GDAX.ETH-USD,D,20160629,000000,12.1600000,13.1300000,11.6200000,12.7400000,26010
GDAX.ETH-USD,D,20160630,000000,12.7000000,13.0600000,12.1900000,12.4900000,12663
GDAX.ETH-USD,D,20160701,000000,12.4800000,12.5400000,11.8000000,12.3400000,19198
GDAX.ETH-USD,D,20160702,000000,12.2800000,12.4500000,12.0000000,12.0900000,11823
GDAX.ETH-USD,D,20160703,000000,12.1600000,12.1600000,11.6500000,12.0200000,11727
GDAX.ETH-USD,D,20160704,000000,11.9400000,11.9900000,11.4100000,11.4800000,5533
GDAX.ETH-USD,D,20160705,000000,11.4500000,11.4800000,9.3100000,10.6000000,34516
GDAX.ETH-USD,D,20160706,000000,10.6000000,11.0000000,10.2400000,10.6100000,14283
GDAX.ETH-USD,D,20160707,000000,10.6000000,10.7000000,9.7500000,10.0800000,21332
GDAX.ETH-USD,D,20160708,000000,10.0800000,11.8000000,10.0500000,11.4300000,27624
GDAX.ETH-USD,D,20160709,000000,11.3900000,11.5700000,10.6800000,11.0100000,9084
GDAX.ETH-USD,D,20160710,000000,11.0200000,11.3000000,10.9000000,11.0200000,9663
GDAX.ETH-USD,D,20160711,000000,11.0000000,11.1600000,10.1100000,10.7200000,11105
GDAX.ETH-USD,D,20160712,000000,10.6500000,10.9800000,10.5000000,10.5700000,13925
GDAX.ETH-USD,D,20160713,000000,10.5800000,10.6500000,10.4900000,10.4900000,5528
GDAX.ETH-USD,D,20160714,000000,10.5000000,11.7800000,10.3300000,11.6200000,25197
GDAX.ETH-USD,D,20160715,000000,11.5600000,12.7500000,11.4000000,11.9900000,24305
GDAX.ETH-USD,D,20160716,000000,11.9800000,12.4000000,11.7900000,11.8000000,7836
GDAX.ETH-USD,D,20160717,000000,11.8100000,11.9200000,11.0200000,11.3300000,12643
GDAX.ETH-USD,D,20160718,000000,11.2700000,11.9300000,11.0000000,11.0500000,14256
GDAX.ETH-USD,D,20160719,000000,11.0800000,11.9800000,11.0700000,11.7500000,7850
GDAX.ETH-USD,D,20160720,000000,11.7000000,13.0000000,11.2200000,12.5000000,39981
GDAX.ETH-USD,D,20160721,000000,12.5300000,13.0900000,12.1000000,12.7600000,72258
GDAX.ETH-USD,D,20160722,000000,12.7600000,15.1100000,12.7300000,14.8300000,199026
GDAX.ETH-USD,D,20160723,000000,14.9900000,15.3900000,14.0000000,14.5200000,115668
GDAX.ETH-USD,D,20160724,000000,14.5200000,14.5700000,12.0500000,12.7800000,140552
GDAX.ETH-USD,D,20160725,000000,12.7100000,14.0100000,12.6100000,13.9100000,101996
GDAX.ETH-USD,D,20160726,000000,13.9300000,13.9500000,11.8800000,12.0000000,165972
GDAX.ETH-USD,D,20160727,000000,12.0000000,13.4000000,11.7500000,13.1000000,109892
GDAX.ETH-USD,D,20160728,000000,13.1000000,13.1400000,12.5300000,12.9300000,65903
GDAX.ETH-USD,D,20160729,000000,12.9300000,12.9500000,12.5700000,12.8400000,53554
GDAX.ETH-USD,D,20160730,000000,12.8400000,12.8800000,12.4900000,12.4900000,38705
GDAX.ETH-USD,D,20160731,000000,12.4900000,12.6700000,11.6100000,11.9900000,57172
GDAX.ETH-USD,D,20160801,000000,11.9800000,12.1200000,10.8000000,10.9500000,91878
