<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
NASDAQ 100;D;20101001;000000;1998.58;2017.23;1987.72;1997.17;0;0
NASDAQ 100;D;20101002;000000;1997.13;1997.13;1996.6;1996.6;0;0
NASDAQ 100;D;20101003;000000;1996.6;1996.6;1996.6;1996.6;0;0
NASDAQ 100;D;20101004;000000;1990.06;1997.67;1963.68;1975.24;0;0
NASDAQ 100;D;20101005;000000;1975.16;2026.46;1975.16;2022.79;0;0
NASDAQ 100;D;20101006;000000;2022.8;2024.91;1992.65;2005.59;0;0
NASDAQ 100;D;20101007;000000;2005.69;2017.43;1996.29;2011.36;0;0
NASDAQ 100;D;20101008;000000;2011.44;2030.79;1999.9;2026.17;0;0
NASDAQ 100;D;20101009;000000;2026.33;2027.03;2026.27;2027.03;0;0
NASDAQ 100;D;20101010;000000;2027.03;2027.03;2027.03;2027.03;0;0
NASDAQ 100;D;20101011;000000;2028.53;2037.12;2021.43;2026.65;0;0
NASDAQ 100;D;20101012;000000;2026.66;2045.08;2007.29;2041.21;0;0
NASDAQ 100;D;20101013;000000;2041.26;2067.06;2041.25;2058.19;0;0
NASDAQ 100;D;20101014;000000;2058.09;2062.26;2043.7;2053.83;0;0
NASDAQ 100;D;20101015;000000;2054.51;2096.55;2054.51;2096.53;0;0
NASDAQ 100;D;20101016;000000;2096.78;2097.73;2096.78;2097.73;0;0
NASDAQ 100;D;20101017;000000;2097.73;2097.73;2097.73;2097.73;0;0
NASDAQ 100;D;20101018;000000;2100.21;2105.07;2091.15;2103.85;0;0
NASDAQ 100;D;20101019;000000;2103.9;2104.15;2054.61;2069.87;0;0
NASDAQ 100;D;20101020;000000;2069.96;2100.16;2069.73;2085.11;0;0
NASDAQ 100;D;20101021;000000;2085.17;2106.24;2069.45;2089.46;0;0
NASDAQ 100;D;20101022;000000;2089.5;2105.44;2086.89;2102.92;0;0
NASDAQ 100;D;20101023;000000;2102.98;2104.21;2102.98;2104.21;0;0
NASDAQ 100;D;20101024;000000;2104.21;2104.21;2104.21;2104.21;0;0
NASDAQ 100;D;20101025;000000;2113.23;2127.26;2112.28;2113.79;0;0
NASDAQ 100;D;20101026;000000;2113.78;2123.81;2094.92;2118.94;0;0
NASDAQ 100;D;20101027;000000;2119.04;2127.21;2105.02;2125.34;0;0
NASDAQ 100;D;20101028;000000;2125.24;2135.68;2112.09;2129.13;0;0
NASDAQ 100;D;20101029;000000;2129.39;2137.33;2125.14;2125.95;0;0
NASDAQ 100;D;20101030;000000;2125.64;2125.64;2124.45;2124.45;0;0
NASDAQ 100;D;20101031;000000;2124.45;2124.45;2124.45;2124.45;0;0
NASDAQ 100;D;20101101;000000;2135.15;2148.07;2117.6;2128.42;0;0
NASDAQ 100;D;20101102;000000;2128;2155.46;2128;2151.72;0;0
NASDAQ 100;D;20101103;000000;2152;2159.68;2132.69;2158.36;0;0
NASDAQ 100;D;20101104;000000;2183.1;2193.66;2179.06;2187.8;0;0
NASDAQ 100;D;20101105;000000;2188.32;2191.24;2179.86;2186.71;0;0
NASDAQ 100;D;20101106;000000;2186.71;2186.71;2186.71;2186.71;0;0
NASDAQ 100;D;20101107;000000;2186.71;2186.71;2186.71;2186.71;0;0
NASDAQ 100;D;20101108;000000;2179.7;2191.49;2176.73;2188.25;0;0
NASDAQ 100;D;20101109;000000;2188.13;2200.16;2166.96;2175.36;0;0
NASDAQ 100;D;20101110;000000;2175.39;2189.38;2162.65;2187.14;0;0
NASDAQ 100;D;20101111;000000;2187.19;2187.74;2145.09;2173.5;0;0
NASDAQ 100;D;20101112;000000;2173.59;2173.59;2122.42;2137.62;0;0
NASDAQ 100;D;20101113;000000;2137.56;2137.95;2137.56;2137.95;0;0
NASDAQ 100;D;20101114;000000;2137.95;2137.95;2137.95;2137.95;0;0
NASDAQ 100;D;20101115;000000;2147.06;2152.89;2129.75;2130.63;0;0
NASDAQ 100;D;20101116;000000;2130.78;2131.48;2085.27;2094.33;0;0
NASDAQ 100;D;20101117;000000;2094.25;2111.05;2090.34;2099.66;0;0
NASDAQ 100;D;20101118;000000;2099.6;2147.97;2099.6;2133.94;0;0
NASDAQ 100;D;20101119;000000;2133.77;2138.88;2121.14;2134.48;0;0
NASDAQ 100;D;20101120;000000;2134.55;2135.27;2134.48;2135.27;0;0
NASDAQ 100;D;20101121;000000;2135.27;2135.27;2135.27;2135.27;0;0
NASDAQ 100;D;20101122;000000;2126.4;2150.56;2121.74;2150.56;0;0
NASDAQ 100;D;20101123;000000;2150.73;2151;2105.64;2117.82;0;0
NASDAQ 100;D;20101124;000000;2118.2;2165.15;2116.61;2160.78;0;0
NASDAQ 100;D;20101125;000000;2160.61;2161;2160.5;2161;0;0
NASDAQ 100;D;20101126;000000;2160.52;2160.55;2142.69;2153.91;0;0
NASDAQ 100;D;20101127;000000;2153.91;2153.91;2153.91;2153.91;0;0
NASDAQ 100;D;20101128;000000;2153.91;2153.91;2153.91;2153.91;0;0
NASDAQ 100;D;20101129;000000;2144.06;2150.71;2118.94;2145.08;0;0
NASDAQ 100;D;20101130;000000;2145.1;2145.1;2110.24;2117.66;0;0
NASDAQ 100;D;20101201;000000;2117.72;2173.42;2117;2162.44;0;0
NASDAQ 100;D;20101202;000000;2162.35;2187.82;2162.32;2184.79;0;0
NASDAQ 100;D;20101203;000000;2184.86;2192.89;2176.32;2191.1;0;0
NASDAQ 100;D;20101204;000000;2191.13;2191.2;2191.13;2191.17;0;0
NASDAQ 100;D;20101205;000000;2191.17;2191.17;2191.17;2191.17;0;0
NASDAQ 100;D;20101206;000000;2192.12;2193.86;2183.03;2189.41;0;0
NASDAQ 100;D;20101207;000000;2189.49;2215.28;2188.74;2189.05;0;0
NASDAQ 100;D;20101208;000000;2189.3;2201.34;2182.99;2200.51;0;0
NASDAQ 100;D;20101209;000000;2200.5;2213.01;2193.92;2200.82;0;0
NASDAQ 100;D;20101210;000000;2200.87;2217.48;2199.69;2215.45;0;0
NASDAQ 100;D;20101211;000000;2215.22;2215.4;2215.22;2215.34;0;0
NASDAQ 100;D;20101212;000000;2215.34;2215.34;2215.34;2215.34;0;0
NASDAQ 100;D;20101213;000000;2223.89;2225.22;2207.04;2207.43;0;0
NASDAQ 100;D;20101214;000000;2207.45;2220.34;2205.21;2211.93;0;0
NASDAQ 100;D;20101215;000000;2211.97;2223.67;2196.88;2203.38;0;0
NASDAQ 100;D;20101216;000000;2203.37;2221.98;2198.86;2218.69;0;0
NASDAQ 100;D;20101217;000000;2218.74;2227.04;2217.13;2220.79;0;0
NASDAQ 100;D;20101218;000000;2220.73;2220.73;2218.29;2218.29;0;0
NASDAQ 100;D;20101219;000000;2218.29;2218.29;2218.29;2218.29;0;0
NASDAQ 100;D;20101220;000000;2225.42;2230.55;2206.3;2222.25;0;0
NASDAQ 100;D;20101221;000000;2222.26;2235.58;2222.26;2234.37;0;0
NASDAQ 100;D;20101222;000000;2234.38;2238.92;2231.97;2236.06;0;0
NASDAQ 100;D;20101223;000000;2235.97;2236;2225.37;2230.14;0;0
NASDAQ 100;D;20101224;000000;2230.16;2230.35;2230;2230;0;0
NASDAQ 100;D;20101225;000000;2230;2230;2230;2230;0;0
NASDAQ 100;D;20101226;000000;2230.27;2230.27;2230.27;2230.27;0;0
NASDAQ 100;D;20101227;000000;2223.76;2234.41;2208.8;2230.65;0;0
NASDAQ 100;D;20101228;000000;2230.5;2236.17;2222.76;2227.34;0;0
NASDAQ 100;D;20101229;000000;2227.36;2236.19;2227;2231.67;0;0
NASDAQ 100;D;20101230;000000;2231.6;2232.38;2222.77;2225.99;0;0
NASDAQ 100;D;20101231;000000;2225.88;2226;2209.38;2217.95;0;0
NASDAQ 100;D;20110101;000000;2217.96;2218.1;2217.6;2217.86;0;0
NASDAQ 100;D;20110102;000000;2217.86;2217.86;2217.86;2217.86;0;0
NASDAQ 100;D;20110103;000000;2238.66;2268.3;2237.79;2252.99;0;0
NASDAQ 100;D;20110104;000000;2252.98;2263.03;2237.73;2251.96;0;0
NASDAQ 100;D;20110105;000000;2251.97;2271.08;2243.88;2270.14;0;0
NASDAQ 100;D;20110106;000000;2270.15;2279.45;2268.59;2277.92;0;0
NASDAQ 100;D;20110107;000000;2277.8;2282.86;2254.22;2276.9;0;0
NASDAQ 100;D;20110108;000000;2276.79;2276.83;2276.7;2276.7;0;0
NASDAQ 100;D;20110109;000000;2276.7;2276.7;2276.7;2276.7;0;0
NASDAQ 100;D;20110110;000000;2270.81;2288.64;2265;2284.86;0;0
NASDAQ 100;D;20110111;000000;2284.87;2296.15;2279.48;2288.01;0;0
NASDAQ 100;D;20110112;000000;2288.04;2303.94;2288.04;2303.77;0;0
NASDAQ 100;D;20110113;000000;2303.71;2310.82;2298.65;2304.8;0;0
NASDAQ 100;D;20110114;000000;2304.85;2322.69;2300.26;2322.57;0;0
NASDAQ 100;D;20110115;000000;2322.56;2323.43;2322.49;2323.43;0;0
NASDAQ 100;D;20110116;000000;2323.43;2323.43;2323.43;2323.43;0;0
NASDAQ 100;D;20110117;000000;2323.43;2323.43;2323.43;2323.43;0;0
NASDAQ 100;D;20110118;000000;2300.66;2331.32;2299.97;2327.8;0;0
NASDAQ 100;D;20110119;000000;2327.72;2331.63;2294.89;2302.6;0;0
NASDAQ 100;D;20110120;000000;2302.37;2303.32;2268.59;2285.71;0;0
NASDAQ 100;D;20110121;000000;2285.85;2301.05;2267.17;2268.37;0;0
NASDAQ 100;D;20110122;000000;2268.34;2268.41;2267.91;2268.32;0;0
NASDAQ 100;D;20110123;000000;2268.32;2268.32;2268.32;2268.32;0;0
NASDAQ 100;D;20110124;000000;2271.73;2300.19;2268.72;2299.52;0;0
NASDAQ 100;D;20110125;000000;2299.37;2303.1;2283.99;2303.02;0;0
NASDAQ 100;D;20110126;000000;2303.17;2321.22;2300.17;2314.51;0;0
NASDAQ 100;D;20110127;000000;2314.28;2336.04;2314.16;2330.28;0;0
NASDAQ 100;D;20110128;000000;2330.22;2330.27;2260.62;2270.78;0;0
NASDAQ 100;D;20110129;000000;2270.83;2270.89;2270.51;2270.51;0;0
NASDAQ 100;D;20110130;000000;2270.51;2270.51;2270.51;2270.51;0;0
NASDAQ 100;D;20110131;000000;2274.22;2287.5;2258.05;2281.29;0;0
NASDAQ 100;D;20110201;000000;2281.36;2329.34;2281.36;2323.68;0;0
NASDAQ 100;D;20110202;000000;2323.85;2328.8;2316.22;2320.83;0;0
NASDAQ 100;D;20110203;000000;2320.89;2327.24;2297.79;2322.71;0;0
NASDAQ 100;D;20110204;000000;2322.73;2338.66;2318.27;2337.13;0;0
NASDAQ 100;D;20110205;000000;2337.52;2338.2;2337.52;2338.2;0;0
NASDAQ 100;D;20110206;000000;2338.2;2338.2;2338.2;2338.2;0;0
NASDAQ 100;D;20110207;000000;2340.44;2360.82;2338.87;2348.16;0;0
NASDAQ 100;D;20110208;000000;2348.24;2363.76;2344.86;2363.37;0;0
NASDAQ 100;D;20110209;000000;2363.51;2367.19;2352.46;2360.44;0;0
