<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
S&P 500,D,20101001,000000,1141.02,1150.3,1139.42,1146.1,0,0
S&P 500,D,20101002,000000,1146.03,1146.24,1146.03,1146.24,0,0
S&P 500,D,20101003,000000,1146.24,1146.24,1146.24,1146.24,0,0
S&P 500,D,20101004,000000,1146.24,1148.16,1131.87,1137.02,0,0
S&P 500,D,20101005,000000,1137.1,1162.76,1137.02,1160.21,0,0
S&P 500,D,20101006,000000,1160.41,1162.33,1154.85,1159.46,0,0
S&P 500,D,20101007,000000,1159.66,1163.87,1151.41,1157.83,0,0
S&P 500,D,20101008,000000,1157.97,1167.73,1155.58,1164.69,0,0
S&P 500,D,20101009,000000,1164.99,1165.15,1164.99,1165.15,0,0
S&P 500,D,20101010,000000,1165.15,1165.15,1165.15,1165.15,0,0
S&P 500,D,20101011,000000,1165.15,1168.68,1162.02,1164.86,0,0
S&P 500,D,20101012,000000,1165.06,1172.58,1155.86,1169.74,0,0
S&P 500,D,20101013,000000,1169.72,1184.38,1169.72,1178.2,0,0
S&P 500,D,20101014,000000,1178.15,1178.86,1166.71,1173.52,0,0
S&P 500,D,20101015,000000,1173.79,1181.2,1167.19,1176.11,0,0
S&P 500,D,20101016,000000,1176.16,1176.2,1176.16,1176.19,0,0
S&P 500,D,20101017,000000,1176.19,1176.19,1176.19,1176.19,0,0
S&P 500,D,20101018,000000,1176.19,1185.53,1174.55,1184.38,0,0
S&P 500,D,20101019,000000,1184.55,1184.72,1159.71,1165.67,0,0
S&P 500,D,20101020,000000,1165.98,1182.94,1165.88,1178.15,0,0
S&P 500,D,20101021,000000,1177.99,1189.43,1171.17,1180.12,0,0
S&P 500,D,20101022,000000,1180.17,1183.93,1178.99,1182.56,0,0
S&P 500,D,20101023,000000,1182.89,1183.08,1182.89,1183.08,0,0
S&P 500,D,20101024,000000,1183.08,1183.08,1183.08,1183.08,0,0
S&P 500,D,20101025,000000,1183.08,1196.14,1183.08,1185.43,0,0
S&P 500,D,20101026,000000,1185.73,1187.11,1177.72,1185.4,0,0
S&P 500,D,20101027,000000,1185.66,1185.69,1171.7,1182.55,0,0
S&P 500,D,20101028,000000,1182.4,1189.53,1177.1,1183.54,0,0
S&P 500,D,20101029,000000,1183.57,1185.46,1179.7,1183.67,0,0
S&P 500,D,20101030,000000,1183.62,1183.62,1183.26,1183.26,0,0
S&P 500,D,20101031,000000,1183.26,1183.26,1183.26,1183.26,0,0
S&P 500,D,20101101,000000,1185.71,1195.81,1177.65,1184.38,0,0
S&P 500,D,20101102,000000,1187.86,1195.88,1187.86,1193.57,0,0
S&P 500,D,20101103,000000,1193.79,1198.3,1183.56,1197.96,0,0
S&P 500,D,20101104,000000,1198.34,1221.25,1198.34,1221.06,0,0
S&P 500,D,20101105,000000,1221.2,1227.08,1220.29,1225.85,0,0
S&P 500,D,20101106,000000,1225.85,1225.85,1225.85,1225.85,0,0
S&P 500,D,20101107,000000,1225.85,1225.85,1225.85,1225.85,0,0
S&P 500,D,20101108,000000,1223.24,1224.57,1217.55,1222.72,0,0
S&P 500,D,20101109,000000,1223.1,1226.84,1208.94,1213.08,0,0
S&P 500,D,20101110,000000,1213.56,1218.71,1204.33,1218.45,0,0
S&P 500,D,20101111,000000,1218.54,1218.75,1204.49,1213.64,0,0
S&P 500,D,20101112,000000,1213.74,1213.74,1194.08,1198.95,0,0
S&P 500,D,20101113,000000,1199.11,1199.22,1199.11,1199.21,0,0
S&P 500,D,20101114,000000,1199.21,1199.21,1199.21,1199.21,0,0
S&P 500,D,20101115,000000,1200.44,1207.43,1197.15,1197.44,0,0
S&P 500,D,20101116,000000,1197.6,1197.75,1173,1178.5,0,0
S&P 500,D,20101117,000000,1178.34,1183.56,1175.82,1178.52,0,0
S&P 500,D,20101118,000000,1178.67,1200.29,1178.59,1196.31,0,0
S&P 500,D,20101119,000000,1196.35,1199.97,1189.44,1199.72,0,0
S&P 500,D,20101120,000000,1199.68,1199.73,1199.65,1199.73,0,0
S&P 500,D,20101121,000000,1199.73,1199.73,1199.73,1199.73,0,0
S&P 500,D,20101122,000000,1198.07,1198.94,1184.58,1197.81,0,0
S&P 500,D,20101123,000000,1197.85,1197.87,1176.91,1180.73,0,0
S&P 500,D,20101124,000000,1181.03,1198.62,1180.72,1198.43,0,0
S&P 500,D,20101125,000000,1198.42,1198.42,1198.35,1198.35,0,0
S&P 500,D,20101126,000000,1194.16,1194.16,1186.93,1189.4,0,0
S&P 500,D,20101127,000000,1189.4,1189.4,1189.4,1189.4,0,0
S&P 500,D,20101128,000000,1189.4,1189.4,1189.4,1189.4,0,0
S&P 500,D,20101129,000000,1189.08,1190.34,1173.64,1188.18,0,0
S&P 500,D,20101130,000000,1187.9,1188,1174.14,1180.94,0,0
S&P 500,D,20101201,000000,1180.72,1207.61,1180.48,1205.79,0,0
S&P 500,D,20101202,000000,1205.73,1221.89,1205.73,1221.54,0,0
S&P 500,D,20101203,000000,1221.4,1225.57,1216.82,1224.6,0,0
S&P 500,D,20101204,000000,1224.61,1224.71,1224.51,1224.71,0,0
S&P 500,D,20101205,000000,1224.71,1224.71,1224.71,1224.71,0,0
S&P 500,D,20101206,000000,1223.87,1225.8,1220.67,1223.21,0,0
S&P 500,D,20101207,000000,1223.12,1235.05,1223.12,1223.62,0,0
S&P 500,D,20101208,000000,1223.78,1228.93,1219.5,1228.19,0,0
S&P 500,D,20101209,000000,1228.03,1234.71,1226.85,1232.66,0,0
S&P 500,D,20101210,000000,1232.83,1240.33,1232.58,1239.83,0,0
S&P 500,D,20101211,000000,1239.59,1240.4,1239.59,1240.4,0,0
S&P 500,D,20101212,000000,1240.4,1240.4,1240.4,1240.4,0,0
S&P 500,D,20101213,000000,1242.52,1246.73,1240.34,1240.39,0,0
S&P 500,D,20101214,000000,1240.51,1246.59,1238.17,1241.68,0,0
S&P 500,D,20101215,000000,1241.63,1244.25,1234.01,1235.58,0,0
S&P 500,D,20101216,000000,1235.67,1243.75,1232.85,1242.9,0,0
S&P 500,D,20101217,000000,1242.94,1245.81,1239.87,1244.46,0,0
S&P 500,D,20101218,000000,1244.12,1244.12,1243.89,1243.91,0,0
S&P 500,D,20101219,000000,1243.91,1243.91,1243.91,1243.91,0,0
S&P 500,D,20101220,000000,1245.76,1250.2,1241.51,1247.15,0,0
S&P 500,D,20101221,000000,1247.12,1255.82,1247.08,1254.53,0,0
S&P 500,D,20101222,000000,1254.64,1259.39,1254.6,1258.9,0,0
S&P 500,D,20101223,000000,1258.8,1258.84,1254.05,1256.73,0,0
S&P 500,D,20101224,000000,1256.75,1256.78,1256.75,1256.77,0,0
S&P 500,D,20101225,000000,1256.77,1256.77,1256.77,1256.77,0,0
S&P 500,D,20101226,000000,1256.77,1256.77,1256.77,1256.77,0,0
S&P 500,D,20101227,000000,1254.66,1258.43,1251.48,1257.8,0,0
S&P 500,D,20101228,000000,1257.61,1259.9,1256.22,1258.67,0,0
S&P 500,D,20101229,000000,1258.81,1262.6,1258.51,1259.93,0,0
S&P 500,D,20101230,000000,1260.02,1261.09,1256.32,1258.07,0,0
S&P 500,D,20101231,000000,1258.06,1259.34,1254.19,1257.81,0,0
S&P 500,D,20110101,000000,1258.02,1258.02,1257.64,1257.64,0,0
S&P 500,D,20110102,000000,1257.64,1257.64,1257.64,1257.64,0,0
S&P 500,D,20110103,000000,1257.62,1276.17,1257.62,1271.42,0,0
S&P 500,D,20110104,000000,1271.36,1274.12,1262.66,1270.37,0,0
S&P 500,D,20110105,000000,1269.97,1277.63,1265.36,1276.47,0,0
S&P 500,D,20110106,000000,1276.66,1278.17,1270.43,1273.88,0,0
S&P 500,D,20110107,000000,1273.68,1276.83,1261.78,1271.6,0,0
S&P 500,D,20110108,000000,1271.48,1271.5,1271.47,1271.5,0,0
S&P 500,D,20110109,000000,1271.5,1271.5,1271.5,1271.5,0,0
S&P 500,D,20110110,000000,1270.84,1271.52,1262.18,1270.09,0,0
S&P 500,D,20110111,000000,1269.75,1277.25,1269.62,1274.36,0,0
S&P 500,D,20110112,000000,1274.38,1286.87,1274.38,1285.71,0,0
S&P 500,D,20110113,000000,1285.85,1286.7,1280.47,1283.53,0,0
S&P 500,D,20110114,000000,1283.68,1292.99,1281.24,1292.99,0,0
S&P 500,D,20110115,000000,1293.09,1293.24,1293.09,1293.24,0,0
S&P 500,D,20110116,000000,1293.24,1293.24,1293.24,1293.24,0,0
S&P 500,D,20110117,000000,1293.24,1293.24,1293.24,1293.24,0,0
S&P 500,D,20110118,000000,1293.22,1296.06,1290.16,1294.98,0,0
S&P 500,D,20110119,000000,1295.04,1295.07,1278.92,1281.81,0,0
S&P 500,D,20110120,000000,1282.04,1283.35,1271.26,1280.1,0,0
S&P 500,D,20110121,000000,1280.37,1291.21,1280,1283.21,0,0
S&P 500,D,20110122,000000,1283.28,1283.35,1283.28,1283.35,0,0
S&P 500,D,20110123,000000,1283.35,1283.35,1283.35,1283.35,0,0
S&P 500,D,20110124,000000,1283.29,1291.93,1282.47,1290.64,0,0
S&P 500,D,20110125,000000,1290.68,1291.12,1281.07,1290.94,0,0
S&P 500,D,20110126,000000,1291.14,1299.74,1291,1296.85,0,0
S&P 500,D,20110127,000000,1296.67,1301.29,1294.41,1299.37,0,0
S&P 500,D,20110128,000000,1299.52,1302.67,1275.1,1276.38,0,0
S&P 500,D,20110129,000000,1276.37,1276.38,1276.34,1276.34,0,0
S&P 500,D,20110130,000000,1276.34,1276.34,1276.34,1276.34,0,0
S&P 500,D,20110131,000000,1276.5,1287.17,1276.5,1285.95,0,0
S&P 500,D,20110201,000000,1286.08,1308.86,1286.07,1307.24,0,0
S&P 500,D,20110202,000000,1307.22,1307.61,1302.62,1303.88,0,0
S&P 500,D,20110203,000000,1303.89,1308.6,1294.83,1307.13,0,0
S&P 500,D,20110204,000000,1307.12,1311,1301.67,1310.58,0,0
S&P 500,D,20110205,000000,1310.64,1310.87,1310.64,1310.87,0,0
S&P 500,D,20110206,000000,1310.87,1310.87,1310.87,1310.87,0,0
S&P 500,D,20110207,000000,1311.85,1322.85,1311.85,1318.74,0,0
S&P 500,D,20110208,000000,1318.8,1324.87,1316.03,1324.46,0,0
S&P 500,D,20110209,000000,1324.49,1324.57,1314.89,1320.74,0,0
S&P 500,D,20110210,000000,1320.86,1322.78,1311.74,1321.42,0,0
S&P 500,D,20110211,000000,1321.77,1330.79,1316.08,1329.2,0,0
S&P 500,D,20110212,000000,1329.33,1329.33,1329.15,1329.15,0,0
S&P 500,D,20110213,000000,1329.15,1329.15,1329.15,1329.15,0,0
S&P 500,D,20110214,000000,1328.73,1332.96,1326.9,1332.23,0,0
S&P 500,D,20110215,000000,1332.22,1332.32,1324.61,1328.05,0,0
S&P 500,D,20110216,000000,1327.9,1337.61,1327.9,1336.28,0,0
S&P 500,D,20110217,000000,1336.12,1341.5,1331,1340.35,0,0
S&P 500,D,20110218,000000,1340.28,1344.07,1338.12,1342.78,0,0
S&P 500,D,20110219,000000,1342.91,1343.01,1342.91,1343.01,0,0
S&P 500,D,20110220,000000,1343.01,1343.01,1343.01,1343.01,0,0
S&P 500,D,20110221,000000,1343.01,1343.01,1343.01,1343.01,0,0
S&P 500,D,20110222,000000,1338.91,1338.91,1312.33,1315.31,0,0
S&P 500,D,20110223,000000,1315.43,1317.91,1299.55,1307.93,0,0
S&P 500,D,20110224,000000,1307.58,1310.91,1294.34,1306.22,0,0
S&P 500,D,20110225,000000,1306.06,1320.61,1306.05,1319.87,0,0
S&P 500,D,20110226,000000,1319.99,1320,1319.88,1319.88,0,0
S&P 500,D,20110227,000000,1320,1320,1319.88,1319.88,0,0
