"date","max(difficulty)"
"2015-07-30",338279223318
"2015-07-31",826014998518
"2015-08-01",963696971291
"2015-08-02",1105243139304
"2015-08-03",1168934353395
"2015-08-04",1302570907281
"2015-08-05",1378532193159
"2015-08-06",1459141900399
"2015-08-07",1533433119808
"2015-08-08",1643435922030
"2015-08-09",1750054197484
"2015-08-10",1956865975918
"2015-08-11",2183632589217
"2015-08-12",2250595189422
"2015-08-13",2459444869560
"2015-08-14",3177173581368
"2015-08-15",3672531177228
"2015-08-16",3895543533936
"2015-08-17",4217584667356
"2015-08-18",4512187916006
"2015-08-19",4530626868413
"2015-08-20",4618728853891
"2015-08-21",4558739688201
"2015-08-22",5180270554579
"2015-08-23",5239236238009
"2015-08-24",5296776366658
"2015-08-25",5421489327262
"2015-08-26",5841531232869
"2015-08-27",6085685216101
"2015-08-28",6434534947135
"2015-08-29",6805554877760
"2015-08-30",7017522914583
"2015-08-31",7521249567828
"2015-09-01",7786717013648
"2015-09-02",9393054101035
"2015-09-03",9471234260874
"2015-09-04",7097766235591
"2015-09-05",6389609539871
"2015-09-06",6449692931263
"2015-09-07",6467640831235
"2015-09-08",6286145245123
"2015-09-09",6343769562270
"2015-09-10",6443627160937
"2015-09-11",6830594932421
"2015-09-12",7036748140906
"2015-09-13",7128781506308
"2015-09-14",6980775151591
"2015-09-15",6631283662153
"2015-09-16",6283947773188
"2015-09-17",6228339766136
"2015-09-18",5869924698550
"2015-09-19",5846567476654
"2015-09-20",6592041529914
"2015-09-21",6747660216902
"2015-09-22",6843130772136
"2015-09-23",7181074713792
"2015-09-24",7194384929162
"2015-09-25",7178940050760
"2015-09-26",7332948442157
"2015-09-27",7407419236525
"2015-09-28",7090489214731
"2015-09-29",6405282550165
"2015-09-30",5796902753672
"2015-10-01",5972101023143
"2015-10-02",6224009768676
"2015-10-03",6466650323543
"2015-10-04",6345943504883
"2015-10-05",6428856045865
"2015-10-06",6460209731812
"2015-10-07",6112811516046
"2015-10-08",6180672914076
"2015-10-09",6268149741319
"2015-10-10",6286273603950
"2015-10-11",6290011899444
"2015-10-12",6302872595541
"2015-10-13",6469687654318
"2015-10-14",6631630155299
"2015-10-15",6520318134437
"2015-10-16",6151852915213
"2015-10-17",6124395131323
"2015-10-18",6140885090621
"2015-10-19",6075258590857
"2015-10-20",5968056693478
"2015-10-21",6002720568542
"2015-10-22",6028965863523
"2015-10-23",6222154678887
"2015-10-24",6450464601619
"2015-10-25",6724899648604
"2015-10-26",6701879902280
"2015-10-27",6867430230834
"2015-10-28",7050068737762
"2015-10-29",7212699565144
"2015-10-30",7722082416152
"2015-10-31",7940571478792
"2015-11-01",7936627088729
"2015-11-02",7851093789724
"2015-11-03",7651293249942
"2015-11-04",7963201694596
"2015-11-05",7727850058787
"2015-11-06",7848513973147
"2015-11-07",7875108903786
"2015-11-08",7928503331589
"2015-11-09",7907317781123
"2015-11-10",7965412153519
"2015-11-11",7909764352256
"2015-11-12",7933313879446
"2015-11-13",8099636827786
"2015-11-14",8143319942608
"2015-11-15",8506986854846
"2015-11-16",8548274918828
"2015-11-17",8542238305906
"2015-11-18",8747562160633
"2015-11-19",9118061882899
"2015-11-20",8806633595988
"2015-11-21",7752449765872
"2015-11-22",7654030732562
"2015-11-23",7742517760533
"2015-11-24",7771706552573
"2015-11-25",7733655810426
"2015-11-26",7713319192553
"2015-11-27",7682236839713
"2015-11-28",7838805497141
"2015-11-29",7889599370865
"2015-11-30",7931800766891
"2015-12-01",8001018132321
"2015-12-02",8010188450297
"2015-12-03",7813218330336
"2015-12-04",8140054214214
"2015-12-05",8311021576358
"2015-12-06",8210365526933
"2015-12-07",7883429759715
"2015-12-08",7834597686942
"2015-12-09",7553213864209
"2015-12-10",7957660869711
"2015-12-11",8298173133867
"2015-12-12",8252492624606
"2015-12-13",8801008068576
"2015-12-14",8863607605229
"2015-12-15",9020958556494
"2015-12-16",8776806985838
"2015-12-17",8940266048457
"2015-12-18",8933278521665
"2015-12-19",8932555618944
"2015-12-20",8716816035366
"2015-12-21",8661323459139
"2015-12-22",8907444146080
"2015-12-23",8719910629331
"2015-12-24",8820375388287
"2015-12-25",8780873105924
"2015-12-26",8680949878475
"2015-12-27",8818221661350
"2015-12-28",8820284590285
"2015-12-29",8781303082870
"2015-12-30",8719721613411
"2015-12-31",8783488389795
"2016-01-01",8730389156847
"2016-01-02",8412174153904
"2016-01-03",8483759947642
"2016-01-04",8504430782154
"2016-01-05",8566534549485
"2016-01-06",8760118744268
"2016-01-07",8601913110251
"2016-01-08",8631038891022
"2016-01-09",8571102654446
"2016-01-10",8532235956486
"2016-01-11",9180107160191
"2016-01-12",9164605726276
"2016-01-13",8830185106712
"2016-01-14",9082333379688
"2016-01-15",9310751993651
"2016-01-16",9391901135928
"2016-01-17",9269522588678
"2016-01-18",9888181592166
"2016-01-19",9815230833149
"2016-01-20",9600646121383
"2016-01-21",9747828460883
"2016-01-22",10173397489972
"2016-01-23",10354219015663
"2016-01-24",10752771698655
"2016-01-25",10746660430419
"2016-01-26",11053924674476
"2016-01-27",11012624316531
"2016-01-28",10779137950893
"2016-01-29",11165893361046
"2016-01-30",11038278488111
"2016-01-31",10962239907692
"2016-02-01",11155895525268
"2016-02-02",11077580959504
"2016-02-03",11333720740795
"2016-02-04",11505904080136
"2016-02-05",11481340301161
"2016-02-06",11291979028287
"2016-02-07",11495818266278
"2016-02-08",11782815589593
"2016-02-09",11623368328242
"2016-02-10",11925979467132
"2016-02-11",12328590910254
"2016-02-12",11999690359976
"2016-02-13",12610626126397
"2016-02-14",12734510150266
"2016-02-15",13193974643790
"2016-02-16",13135645645753
"2016-02-17",12991417385570
"2016-02-18",12519181680832
"2016-02-19",13086425976729
"2016-02-20",13111544180896
"2016-02-21",13426256999161
"2016-02-22",13863603033004
"2016-02-23",14031657451785
"2016-02-24",13887980739526
"2016-02-25",13844689228171
"2016-02-26",14659789926774
"2016-02-27",14754095386206
"2016-02-28",15193515602592
"2016-02-29",15233081069322
"2016-03-01",15029445475293
"2016-03-02",15473112517490
"2016-03-03",16190724237293
"2016-03-04",16491158873069
"2016-03-05",17340879631401
"2016-03-06",17742905902202
"2016-03-07",17749987075766
"2016-03-08",17783391777519
"2016-03-09",18311433041477
"2016-03-10",18821170967215
"2016-03-11",19255858706349
"2016-03-12",19993780163524
"2016-03-13",21185294278743
"2016-03-14",20978738430620
"2016-03-15",18508139977606
"2016-03-16",18148698393358
"2016-03-17",19165019963403
"2016-03-18",19302866769918
"2016-03-19",19174718354075
"2016-03-20",19770215133451
"2016-03-21",19757277592204
"2016-03-22",20399540698377
"2016-03-23",20058773600332
"2016-03-24",20585579626497
"2016-03-25",21515166300636
"2016-03-26",22498187657766
"2016-03-27",22926274864125
"2016-03-28",23092546988253
"2016-03-29",22935821512084
"2016-03-30",23433085944477
"2016-03-31",24946163858462
"2016-04-01",24904421577321
"2016-04-02",24733983831048
"2016-04-03",25167436729356
"2016-04-04",25893036373472
"2016-04-05",26189846561909
"2016-04-06",26579665522140
"2016-04-07",25913888258637
"2016-04-08",27847692712370
"2016-04-09",27827640690672
"2016-04-10",28121208080313
"2016-04-11",27715768934414
"2016-04-12",27479640485115
"2016-04-13",28115293437710
"2016-04-14",28275082639873
"2016-04-15",28964438518585
"2016-04-16",29564169886924
"2016-04-17",29902255888376
"2016-04-18",30392872517886
"2016-04-19",31567936265545
"2016-04-20",31052842456286
"2016-04-21",31625895108073
"2016-04-22",31499177262885
"2016-04-23",31678181671354
"2016-04-24",31484776887370
"2016-04-25",32945408663943
"2016-04-26",32516622261191
"2016-04-27",32509635444328
"2016-04-28",33199108296106
"2016-04-29",33214956050160
"2016-04-30",34930818579666
"2016-05-01",35347422219636
"2016-05-02",34668197451854
"2016-05-03",35254700983247
"2016-05-04",35459788739885
"2016-05-05",34862670605165
"2016-05-06",35011034838353
"2016-05-07",35619816270668
"2016-05-08",35340310296997
"2016-05-09",35616128660185
"2016-05-10",36388748643067
"2016-05-11",36699651866831
"2016-05-12",36876050366651
"2016-05-13",37982925318287
"2016-05-14",38111343145664
"2016-05-15",38688827065151
"2016-05-16",38484653064099
"2016-05-17",38232536938106
"2016-05-18",39454527890304
"2016-05-19",40682340259399
"2016-05-20",41140508148798
"2016-05-21",41672234401226
"2016-05-22",41575705581801
"2016-05-23",41386918738356
"2016-05-24",42001665095017
"2016-05-25",42549984482334
"2016-05-26",43353557051282
"2016-05-27",43086979220679
"2016-05-28",44204189454628
"2016-05-29",44785009140073
"2016-05-30",44497577511217
"2016-05-31",45722940202274
"2016-06-01",43190308571299
"2016-06-02",44951406801071
"2016-06-03",46455014840186
"2016-06-04",46260062224210
"2016-06-05",46208690504610
"2016-06-06",47284035031357
"2016-06-07",47250206759251
"2016-06-08",47459995075927
"2016-06-09",50050845634566
"2016-06-10",49363674799999
"2016-06-11",49161895151906
"2016-06-12",48535409048885
"2016-06-13",51383481082244
"2016-06-14",50891633856727
"2016-06-15",51058175639591
"2016-06-16",50833197514507
"2016-06-17",51819190760385
"2016-06-18",46817543759709
"2016-06-19",52497895258830
"2016-06-20",52573520528799
"2016-06-21",52251448533936
"2016-06-22",54523967417789
"2016-06-23",54999475556794
"2016-06-24",55093156433639
"2016-06-25",55039708029469
"2016-06-26",55980673730148
"2016-06-27",57523762704377
"2016-06-28",57249519300107
"2016-06-29",56434851083121
"2016-06-30",56799780139569
"2016-07-01",57634066156158
"2016-07-02",58376244111521
"2016-07-03",60083596817773
"2016-07-04",60699182315388
"2016-07-05",61623637162088
"2016-07-06",58713979544707
"2016-07-07",60182836362399
"2016-07-08",59246710823426
"2016-07-09",59879953465629
"2016-07-10",60581822289011
"2016-07-11",60955380172504
"2016-07-12",61183417485805
"2016-07-13",62554712921290
"2016-07-14",62022707499105
"2016-07-15",60989346066158
"2016-07-16",59791514712324
"2016-07-17",60607077073201
"2016-07-18",63648539202889
"2016-07-19",63086934103184
"2016-07-20",62627639064050
"2016-07-21",63264660220211
"2016-07-22",61905352081542
"2016-07-23",62486773565182
"2016-07-24",63553147323407
"2016-07-25",60207220613818
"2016-07-26",60320195628791
"2016-07-27",55562369940124
"2016-07-28",57786355741977
"2016-07-29",57842421696730
"2016-07-30",56210286706117
"2016-07-31",56242530861072
"2016-08-01",55932954537342
"2016-08-02",53351549429599
"2016-08-03",49940555377818
"2016-08-04",54268276413778
"2016-08-05",54733513798156
"2016-08-06",55371052618590
"2016-08-07",55668507051830
"2016-08-08",57107469602351
"2016-08-09",59593539166081
"2016-08-10",61274876188962
"2016-08-11",61523210712969
"2016-08-12",61232129618471
"2016-08-13",60951234870731
"2016-08-14",61144411089474
"2016-08-15",62476056102357
"2016-08-16",64415208326121
"2016-08-17",64184148627156
"2016-08-18",64252868269793
"2016-08-19",65576259173537
"2016-08-20",66077884353246
"2016-08-21",64969159696763
"2016-08-22",66653096217994
"2016-08-23",67798405741096
"2016-08-24",67129955764045
"2016-08-25",69263032348217
"2016-08-26",71612235773349
"2016-08-27",71069474324170
"2016-08-28",70789517295494
"2016-08-29",70772669870096
"2016-08-30",70268906007096
"2016-08-31",72400774971754
"2016-09-01",72675583297778
"2016-09-02",71935759534024
"2016-09-03",71795175298413
"2016-09-04",68083618349250
"2016-09-05",69606761270960
"2016-09-06",69461865856324
"2016-09-07",71122468046436
"2016-09-08",70581672725920
"2016-09-09",70309980275111
"2016-09-10",71459568084629
"2016-09-11",73374816572487
"2016-09-12",73454835647088
"2016-09-13",74025515808254
"2016-09-14",74785802638610
"2016-09-15",74672116177816
"2016-09-16",75055322468633
